x,y,token
0.7152662452470947,-2.327077616881687,power
-3.879441380530754,-0.4563129086931374,having
-4.622062579892037,-3.8951823571682582,rather
-1.7603205206694328,-0.6564577907386218,much
-6.375143091190108,2.0470711399149497,way
-1.4609969611190807,-4.62751373101239,think
-1.8674147708443682,-4.250069453786526,well
2.718615235385758,3.5143191886469034,herself
-1.7555911382980163,-6.0361408908911685,these
-1.5546330068796335,-6.603824218151106,which
-4.488375115786538,-0.19289301064103132,threatened
-1.4425664334610988,-2.9830824627874004,many
-3.0251932961991677,-0.42082839978612924,enjoyments
-1.830450753722302,0.5582907489440545,danger
-2.6420627241478205,0.38577673688445424,however
-4.8880269582198705,-4.252279297100897,at
-2.5467430434604355,-1.3302535129240265,present
-1.8552988570642353,-6.496289485524856,so
